Phase,Fieldworker,Digital Reference,Public Facing Title,Location,Contributors,Date,Duration,Contents Informaton,Original Tape Name,Physical Location,Digital Location,Transcribed,Transcription Second Proof,VTT File Uploaded,Detailed Contents uploaded,Complete on DASG website and Corrected,DASG Team check,Permission Granted,No. Of audio files supplied ,No. Of images,Tape Brand,Reel Size,Speed,Indexed,Notes,Capture Station,Deck,Digitiser Initials,"""Sadie Project Number"""
,Seosamh Watson,,,Hilton/Shandwick,,Sep 1975,,,09.75.1,,,,,,,,,,,,C-90,Casette Tape,,,[rotation mechanism faulty],,,,
,Seosamh Watson,,,Hilton/Shandwick,,Sep 1975,,,09.75.2,,,,,,,,,,,,C-90,Casette Tape,,,[second half of side 2 blank],,,,
,Seosamh Watson,,,Hilton/Shandwick,,Sep 1975,,,09.75.3,,,,,,,,,,,,C-90,Casette Tape,,,,,,,
,Seosamh Watson,,,Hilton/Shandwick,,Sep 1975,,,09.75.4,,,,,,,,,,,,C-90,Casette Tape,,,,,,,
,Seosamh Watson,,,Hilton/Shandwick,,Sep 1975,,,09.75.5,,,,,,,,,,,,C-90,Casette Tape,,,,,,,
,Seosamh Watson,,,Hilton/Shandwick,,Sep 1975,,,09.75.6,,,,,,,,,,,,C-90,Casette Tape,,,,,,,
,Seosamh Watson,,,Hilton/Shandwick,,Sep 1975,,,09.75.7,,,,,,,,,,,,C-90,Casette Tape,,,,,,,
,Seosamh Watson,,,Hilton/Shandwick,,Sep 1975,,,09.75.8,,,,,,,,,,,,C-90,Casette Tape,,,,,,,
,Seosamh Watson,,,Hilton/Shandwick,,Sep 1975,,,09.75.9,,,,,,,,,,,,C-90,Casette Tape,,,[rotation mechanism faulty],,,,
,Seosamh Watson,,,Hilton/Shandwick,,Sep 1975,,,09.75.10,,,,,,,,,,,,C-90,Casette Tape,,,,,,,
,Seosamh Watson,,,Hilton/Shandwick,,Sep 1975,,,09.75.11,,,,,,,,,,,,C-90,Casette Tape,,,[rotation mechanism faulty; side 2 blank],,,,
,Seosamh Watson,,,Hilton/Shandwick,,Sep 1975,,,09.75.12,,,,,,,,,,,,C-90,Casette Tape,,,,,,,
